"Datum","Windgeschwindigkeit48M","Windgeschwindigkeit100M","Windgeschwindigkeit152M","Windrichtung48M","Windrichtung100M","Windrichtung152M","Windgeschwindigkeit100MP10","Windgeschwindigkeit100MP20","Windgeschwindigkeit100MP30","Windgeschwindigkeit100MP40","Windgeschwindigkeit100MP50","Windgeschwindigkeit100MP60","Windgeschwindigkeit100MP70","Windgeschwindigkeit100MP80","Windgeschwindigkeit100MP90","Interpoliert","Kapazitaat","Output","Zeit","Week_Day","Month_Day","Year_Week","Year_Month","Year_Day","Time_Slot","Hour","Cloud","Precipitation","Pressure","Solar","Temp","Wind"
2017-07-01,5.59,6.68,7.48,262,264,266,4.49,5.34,5.91,6.24,6.68,7.03,7.44,7.81,8.34,0,119000,"X"," 3:00",7,1,26,7,182,13,4,8,0,1002.7,97.19,14.4,4.6
2017-07-01,5.6325,6.725,7.535,263.25,265.25,267.25,4.515,5.3625,5.95,6.2975,6.725,7.0525,7.45,7.84,8.4275,1,119000,"X"," 3:15",7,1,26,7,182,14,4,8,0,1002.7,97.19,14.4,4.6
2017-07-01,5.675,6.77,7.59,264.5,266.5,268.5,4.54,5.385,5.99,6.355,6.77,7.075,7.46,7.87,8.515,1,119000,"X"," 3:30",7,1,26,7,182,15,4,8,0,1002.7,97.19,14.4,4.6
2017-07-01,5.7175,6.815,7.645,265.75,267.75,269.75,4.565,5.4075,6.03,6.4125,6.815,7.0975,7.47,7.9,8.6025,1,119000,"X"," 3:45",7,1,26,7,182,16,4,8,0,1002.7,97.19,14.4,4.6
2017-07-01,5.76,6.86,7.7,267,269,271,4.59,5.43,6.07,6.47,6.86,7.12,7.48,7.93,8.69,0,119000,"X"," 4:00",7,1,26,7,182,17,5,8,0.3,1002.8,91.33,14.3,3.6
2017-07-01,5.73,6.82,7.65,268.75,271,273,4.5825,5.4025,6.01,6.455,6.8225,7.1175,7.5125,7.96,8.7,1,119000,"X"," 4:15",7,1,26,7,182,18,5,8,0.3,1002.8,91.33,14.3,3.6
2017-07-01,5.7,6.78,7.6,270.5,273,275,4.575,5.375,5.95,6.44,6.785,7.115,7.545,7.99,8.71,1,119000,"X"," 4:30",7,1,26,7,182,19,5,8,0.3,1002.8,91.33,14.3,3.6
2017-07-01,5.67,6.74,7.55,272.25,275,277,4.5675,5.3475,5.89,6.425,6.7475,7.1125,7.5775,8.02,8.72,1,119000,"X"," 4:45",7,1,26,7,182,20,5,8,0.3,1002.8,91.33,14.3,3.6
2017-07-01,5.64,6.7,7.5,274,277,279,4.56,5.32,5.83,6.41,6.71,7.11,7.61,8.05,8.73,0,119000,"X"," 5:00",7,1,26,7,182,21,6,7,1.4,1002.7,84.16,14.5,2.8
2017-07-01,5.63,6.695,7.4925,275.5,278.75,281,4.42,5.28,5.8275,6.3825,6.705,7.0975,7.56,8.0475,8.6975,1,119000,"X"," 5:15",7,1,26,7,182,22,6,7,1.4,1002.7,84.16,14.5,2.8
2017-07-01,5.62,6.69,7.485,277,280.5,283,4.28,5.24,5.825,6.355,6.7,7.085,7.51,8.045,8.665,1,119000,"X"," 5:30",7,1,26,7,182,23,6,7,1.4,1002.7,84.16,14.5,2.8
2017-07-01,5.61,6.685,7.4775,278.5,282.25,285,4.14,5.2,5.8225,6.3275,6.695,7.0725,7.46,8.0425,8.6325,1,119000,"X"," 5:45",7,1,26,7,182,24,6,7,1.4,1002.7,84.16,14.5,2.8
2017-07-01,5.6,6.68,7.47,280,284,287,4,5.16,5.82,6.3,6.69,7.06,7.41,8.04,8.6,0,119000,"X"," 6:00",7,1,26,7,182,25,7,7,0,1003.3,76.04,15.2,3.4
2017-07-01,5.625,6.72,7.5225,282.5,286.5,289.75,4.1125,5.2,5.805,6.2875,6.73,7.1025,7.4975,8.135,8.815,1,119000,"X"," 6:15",7,1,26,7,182,26,7,7,0,1003.3,76.04,15.2,3.4
2017-07-01,5.65,6.76,7.575,285,289,292.5,4.225,5.24,5.79,6.275,6.77,7.145,7.585,8.23,9.03,1,119000,"X"," 6:30",7,1,26,7,182,27,7,7,0,1003.3,76.04,15.2,3.4
2017-07-01,5.675,6.8,7.6275,287.5,291.5,295.25,4.3375,5.28,5.775,6.2625,6.81,7.1875,7.6725,8.325,9.245,1,119000,"X"," 6:45",7,1,26,7,182,28,7,7,0,1003.3,76.04,15.2,3.4
2017-07-01,5.7,6.84,7.68,290,294,298,4.45,5.32,5.76,6.25,6.85,7.23,7.76,8.42,9.46,0,119000,"X"," 7:00",7,1,26,7,182,29,8,8,0,1003.8,67.32,15.3,4
2017-07-01,5.755,6.92,7.77,294.5,298.25,302.25,4.495,5.4125,5.8575,6.345,6.9325,7.3125,7.8425,8.525,9.49,1,119000,"X"," 7:15",7,1,26,7,182,30,8,8,0,1003.8,67.32,15.3,4
2017-07-01,5.81,7,7.86,299,302.5,306.5,4.54,5.505,5.955,6.44,7.015,7.395,7.925,8.63,9.52,1,119000,"X"," 7:30",7,1,26,7,182,31,8,8,0,1003.8,67.32,15.3,4
2017-07-01,5.865,7.08,7.95,303.5,306.75,310.75,4.585,5.5975,6.0525,6.535,7.0975,7.4775,8.0075,8.735,9.55,1,119000,"X"," 7:45",7,1,26,7,182,32,8,8,0,1003.8,67.32,15.3,4
2017-07-01,5.92,7.16,8.04,308,311,315,4.63,5.69,6.15,6.63,7.18,7.56,8.09,8.84,9.58,0,112200,"X"," 8:00",7,1,26,7,182,33,9,8,0,1004.3,58.33,15.6,4.2
2017-07-01,6.005,7.2475,8.1375,311.75,314.75,318.25,4.73,5.7425,6.23,6.715,7.2675,7.66,8.135,8.9075,9.6775,1,112200,"X"," 8:15",7,1,26,7,182,34,9,8,0,1004.3,58.33,15.6,4.2
2017-07-01,6.09,7.335,8.235,315.5,318.5,321.5,4.83,5.795,6.31,6.8,7.355,7.76,8.18,8.975,9.775,1,112200,"X"," 8:30",7,1,26,7,182,35,9,8,0,1004.3,58.33,15.6,4.2
2017-07-01,6.175,7.4225,8.3325,319.25,322.25,324.75,4.93,5.8475,6.39,6.885,7.4425,7.86,8.225,9.0425,9.8725,1,112200,"X"," 8:45",7,1,26,7,182,36,9,8,0,1004.3,58.33,15.6,4.2
2017-07-01,6.26,7.51,8.43,323,326,328,5.03,5.9,6.47,6.97,7.53,7.96,8.27,9.11,9.97,0,112200,"X"," 9:00",7,1,26,7,182,37,10,8,0,1004.8,49.46,15.4,4.1
2017-07-01,6.3575,7.5975,8.5075,325.25,327.75,329.75,5.1675,5.9725,6.5575,7.0775,7.6175,8.07,8.47,9.245,10.15,1,112200,"X"," 9:15",7,1,26,7,182,38,10,8,0,1004.8,49.46,15.4,4.1
2017-07-01,6.455,7.685,8.585,327.5,329.5,331.5,5.305,6.045,6.645,7.185,7.705,8.18,8.67,9.38,10.33,1,112200,"X"," 9:30",7,1,26,7,182,39,10,8,0,1004.8,49.46,15.4,4.1
2017-07-01,6.5525,7.7725,8.6625,329.75,331.25,333.25,5.4425,6.1175,6.7325,7.2925,7.7925,8.29,8.87,9.515,10.51,1,112200,"X"," 9:45",7,1,26,7,182,40,10,8,0,1004.8,49.46,15.4,4.1
2017-07-01,6.65,7.86,8.74,332,333,335,5.58,6.19,6.82,7.4,7.88,8.4,9.07,9.65,10.69,0,112200,"X"," 10:00",7,1,26,7,182,41,11,8,0,1005.3,41.23,15.5,4.1
2017-07-01,6.785,7.9975,8.875,333,334.25,336,5.6625,6.3425,7.0125,7.5325,8.02,8.5175,9.1175,9.685,10.74,1,112200,"X"," 10:15",7,1,26,7,182,42,11,8,0,1005.3,41.23,15.5,4.1
2017-07-01,6.92,8.135,9.01,334,335.5,337,5.745,6.495,7.205,7.665,8.16,8.635,9.165,9.72,10.79,1,112200,"X"," 10:30",7,1,26,7,182,43,11,8,0,1005.3,41.23,15.5,4.1
2017-07-01,7.055,8.2725,9.145,335,336.75,338,5.8275,6.6475,7.3975,7.7975,8.3,8.7525,9.2125,9.755,10.84,1,112200,"X"," 10:45",7,1,26,7,182,44,11,8,0,1005.3,41.23,15.5,4.1
2017-07-01,7.19,8.41,9.28,336,338,339,5.91,6.8,7.59,7.93,8.44,8.87,9.26,9.79,10.89,0,112200,"X"," 11:00",7,1,26,7,182,45,12,8,0.1,1006,34.49,16.4,3.4
2017-07-01,7.225,8.45,9.3125,336,337.75,339,5.8375,6.785,7.5225,7.92,8.4725,8.9025,9.3325,9.9125,10.8775,1,112200,"X"," 11:15",7,1,26,7,182,46,12,8,0.1,1006,34.49,16.4,3.4
2017-07-01,7.26,8.49,9.345,336,337.5,339,5.765,6.77,7.455,7.91,8.505,8.935,9.405,10.035,10.865,1,112200,"X"," 11:30",7,1,26,7,182,47,12,8,0.1,1006,34.49,16.4,3.4
2017-07-01,7.295,8.53,9.3775,336,337.25,339,5.6925,6.755,7.3875,7.9,8.5375,8.9675,9.4775,10.1575,10.8525,1,112200,"X"," 11:45",7,1,26,7,182,48,12,8,0.1,1006,34.49,16.4,3.4
2017-07-01,7.33,8.57,9.41,336,337,339,5.62,6.74,7.32,7.89,8.57,9,9.55,10.28,10.84,0,112200,"X"," 12:00",7,1,26,7,182,49,13,7,0.8,1006.6,30.51,16.6,3.9
2017-07-01,7.36,8.6025,9.44,335.75,337,338.75,5.7575,6.77,7.385,7.9725,8.605,9.0775,9.63,10.3475,10.92,1,112200,"X"," 12:15",7,1,26,7,182,50,13,7,0.8,1006.6,30.51,16.6,3.9
2017-07-01,7.39,8.635,9.47,335.5,337,338.5,5.895,6.8,7.45,8.055,8.64,9.155,9.71,10.415,11,1,112200,"X"," 12:30",7,1,26,7,182,51,13,7,0.8,1006.6,30.51,16.6,3.9
2017-07-01,7.42,8.6675,9.5,335.25,337,338.25,6.0325,6.83,7.515,8.1375,8.675,9.2325,9.79,10.4825,11.08,1,112200,"X"," 12:45",7,1,26,7,182,52,13,7,0.8,1006.6,30.51,16.6,3.9
2017-07-01,7.45,8.7,9.53,335,337,338,6.17,6.86,7.58,8.22,8.71,9.31,9.87,10.55,11.16,0,112200,"X"," 13:00",7,1,26,7,182,53,14,7,0.1,1007.4,30.51,17.1,4.9
2017-07-01,7.4625,8.7125,9.525,334.5,336.25,337.5,6.145,6.95,7.63,8.2525,8.765,9.365,9.9375,10.7075,11.37,1,112200,"X"," 13:15",7,1,26,7,182,54,14,7,0.1,1007.4,30.51,17.1,4.9
2017-07-01,7.475,8.725,9.52,334,335.5,337,6.12,7.04,7.68,8.285,8.82,9.42,10.005,10.865,11.58,1,112200,"X"," 13:30",7,1,26,7,182,55,14,7,0.1,1007.4,30.51,17.1,4.9
2017-07-01,7.4875,8.7375,9.515,333.5,334.75,336.5,6.095,7.13,7.73,8.3175,8.875,9.475,10.0725,11.0225,11.79,1,112200,"X"," 13:45",7,1,26,7,182,56,14,7,0.1,1007.4,30.51,17.1,4.9
2017-07-01,7.5,8.75,9.51,333,334,336,6.07,7.22,7.78,8.35,8.93,9.53,10.14,11.18,12,0,112200,"X"," 14:00",7,1,26,7,182,57,15,7,0,1008.2,34.5,18.2,4.7
2017-07-01,7.5025,8.7225,9.4575,332,333.25,335,6.035,7.0825,7.6425,8.24,8.8575,9.4625,10.0675,10.975,11.805,1,112200,"X"," 14:15",7,1,26,7,182,58,15,7,0,1008.2,34.5,18.2,4.7
2017-07-01,7.505,8.695,9.405,331,332.5,334,6,6.945,7.505,8.13,8.785,9.395,9.995,10.77,11.61,1,112200,"X"," 14:30",7,1,26,7,182,59,15,7,0,1008.2,34.5,18.2,4.7
2017-07-01,7.5075,8.6675,9.3525,330,331.75,333,5.965,6.8075,7.3675,8.02,8.7125,9.3275,9.9225,10.565,11.415,1,112200,"X"," 14:45",7,1,26,7,182,60,15,7,0,1008.2,34.5,18.2,4.7
2017-07-01,7.51,8.64,9.3,329,331,332,5.93,6.67,7.23,7.91,8.64,9.26,9.85,10.36,11.22,0,112200,"X"," 15:00",7,1,26,7,182,61,16,7,0,1008.6,41.25,19.3,4
2017-07-01,7.55,8.645,9.27,328.75,330.5,331.5,6.0025,6.69,7.3,7.95,8.6475,9.2175,9.7575,10.265,11.06,1,112200,"X"," 15:15",7,1,26,7,182,62,16,7,0,1008.6,41.25,19.3,4
2017-07-01,7.59,8.65,9.24,328.5,330,331,6.075,6.71,7.37,7.99,8.655,9.175,9.665,10.17,10.9,1,112200,"X"," 15:30",7,1,26,7,182,63,16,7,0,1008.6,41.25,19.3,4
2017-07-01,7.63,8.655,9.21,328.25,329.5,330.5,6.1475,6.73,7.44,8.03,8.6625,9.1325,9.5725,10.075,10.74,1,112200,"X"," 15:45",7,1,26,7,182,64,16,7,0,1008.6,41.25,19.3,4
2017-07-01,7.67,8.66,9.18,328,329,330,6.22,6.75,7.51,8.07,8.67,9.09,9.48,9.98,10.58,0,112200,"X"," 16:00",7,1,26,7,182,65,17,7,0,1009,49.48,19.9,5.2
2017-07-01,7.75,8.7125,9.2,328.25,329.25,330,6.33,6.905,7.6225,8.1725,8.7225,9.17,9.56,10.0625,10.6825,1,112200,"X"," 16:15",7,1,26,7,182,66,17,7,0,1009,49.48,19.9,5.2
2017-07-01,7.83,8.765,9.22,328.5,329.5,330,6.44,7.06,7.735,8.275,8.775,9.25,9.64,10.145,10.785,1,112200,"X"," 16:30",7,1,26,7,182,67,17,7,0,1009,49.48,19.9,5.2
2017-07-01,7.91,8.8175,9.24,328.75,329.75,330,6.55,7.215,7.8475,8.3775,8.8275,9.33,9.72,10.2275,10.8875,1,112200,"X"," 16:45",7,1,26,7,182,68,17,7,0,1009,49.48,19.9,5.2
2017-07-01,7.99,8.87,9.26,329,330,330,6.66,7.37,7.96,8.48,8.88,9.41,9.8,10.31,10.99,0,119000,"X"," 17:00",7,1,26,7,182,69,18,2,0,1009.4,58.36,20.7,5.8
2017-07-01,7.9525,8.82,9.2,329,329.75,330,6.7175,7.38,7.975,8.4325,8.835,9.3375,9.7175,10.2075,10.8575,1,119000,"X"," 17:15",7,1,26,7,182,70,18,2,0,1009.4,58.36,20.7,5.8
2017-07-01,7.915,8.77,9.14,329,329.5,330,6.775,7.39,7.99,8.385,8.79,9.265,9.635,10.105,10.725,1,119000,"X"," 17:30",7,1,26,7,182,71,18,2,0,1009.4,58.36,20.7,5.8
2017-07-01,7.8775,8.72,9.08,329,329.25,330,6.8325,7.4,8.005,8.3375,8.745,9.1925,9.5525,10.0025,10.5925,1,119000,"X"," 17:45",7,1,26,7,182,72,18,2,0,1009.4,58.36,20.7,5.8
2017-07-01,7.84,8.67,9.02,329,329,330,6.89,7.41,8.02,8.29,8.7,9.12,9.47,9.9,10.46,0,119000,"X"," 18:00",7,1,26,7,182,73,19,2,0,1009.8,67.35,19.9,6.8
2017-07-01,7.73,8.5575,8.8975,328.5,328.5,329.25,6.7875,7.315,7.905,8.19,8.58,8.9575,9.3375,9.7775,10.41,1,119000,"X"," 18:15",7,1,26,7,182,74,19,2,0,1009.8,67.35,19.9,6.8
2017-07-01,7.62,8.445,8.775,328,328,328.5,6.685,7.22,7.79,8.09,8.46,8.795,9.205,9.655,10.36,1,119000,"X"," 18:30",7,1,26,7,182,75,19,2,0,1009.8,67.35,19.9,6.8
2017-07-01,7.51,8.3325,8.6525,327.5,327.5,327.75,6.5825,7.125,7.675,7.99,8.34,8.6325,9.0725,9.5325,10.31,1,119000,"X"," 18:45",7,1,26,7,182,76,19,2,0,1009.8,67.35,19.9,6.8
2017-07-01,7.4,8.22,8.53,327,327,327,6.48,7.03,7.56,7.89,8.22,8.47,8.94,9.41,10.26,0,119000,"X"," 19:00",7,1,26,7,182,77,20,1,0,1010.5,76.07,18.2,5.9
2017-07-01,7.2375,8.0525,8.365,326.25,326.25,326.25,6.2775,6.875,7.3525,7.7125,8.0525,8.35,8.78,9.26,10.015,1,119000,"X"," 19:15",7,1,26,7,182,78,20,1,0,1010.5,76.07,18.2,5.9
2017-07-01,7.075,7.885,8.2,325.5,325.5,325.5,6.075,6.72,7.145,7.535,7.885,8.23,8.62,9.11,9.77,1,119000,"X"," 19:30",7,1,26,7,182,79,20,1,0,1010.5,76.07,18.2,5.9
2017-07-01,6.9125,7.7175,8.035,324.75,324.75,324.75,5.8725,6.565,6.9375,7.3575,7.7175,8.11,8.46,8.96,9.525,1,119000,"X"," 19:45",7,1,26,7,182,80,20,1,0,1010.5,76.07,18.2,5.9
2017-07-01,6.75,7.55,7.87,324,324,324,5.67,6.41,6.73,7.18,7.55,7.99,8.3,8.81,9.28,0,119000,"X"," 20:00",7,1,26,7,182,81,21,1,0,1011.5,84.19,16.3,5.2
2017-07-01,6.58,7.4125,7.77,322.5,322.75,322.75,5.5775,6.2325,6.59,7.02,7.4125,7.815,8.1725,8.6475,9.1225,1,119000,"X"," 20:15",7,1,26,7,182,82,21,1,0,1011.5,84.19,16.3,5.2
2017-07-01,6.41,7.275,7.67,321,321.5,321.5,5.485,6.055,6.45,6.86,7.275,7.64,8.045,8.485,8.965,1,119000,"X"," 20:30",7,1,26,7,182,83,21,1,0,1011.5,84.19,16.3,5.2
2017-07-01,6.24,7.1375,7.57,319.5,320.25,320.25,5.3925,5.8775,6.31,6.7,7.1375,7.465,7.9175,8.3225,8.8075,1,119000,"X"," 20:45",7,1,26,7,182,84,21,1,0,1011.5,84.19,16.3,5.2
2017-07-01,6.07,7,7.47,318,319,319,5.3,5.7,6.17,6.54,7,7.29,7.79,8.16,8.65,0,119000,"X"," 21:00",7,1,26,7,182,85,22,1,0,1012.4,91.37,14.8,5
2017-07-01,5.94,6.895,7.3925,316.25,317.5,317.75,5.2225,5.635,6.09,6.44,6.905,7.2,7.6625,8.145,8.6225,1,119000,"X"," 21:15",7,1,26,7,182,86,22,1,0,1012.4,91.37,14.8,5
2017-07-01,5.81,6.79,7.315,314.5,316,316.5,5.145,5.57,6.01,6.34,6.81,7.11,7.535,8.13,8.595,1,119000,"X"," 21:30",7,1,26,7,182,87,22,1,0,1012.4,91.37,14.8,5
2017-07-01,5.68,6.685,7.2375,312.75,314.5,315.25,5.0675,5.505,5.93,6.24,6.715,7.02,7.4075,8.115,8.5675,1,119000,"X"," 21:45",7,1,26,7,182,88,22,1,0,1012.4,91.37,14.8,5
2017-07-01,5.55,6.58,7.16,311,313,314,4.99,5.44,5.85,6.14,6.62,6.93,7.28,8.1,8.54,0,119000,"X"," 22:00",7,1,26,7,182,89,23,4,0,1013,97.25,14.1,4.1
2017-07-01,5.4275,6.4875,7.0925,309.5,311.75,313,4.865,5.34,5.785,6.08,6.5175,6.8475,7.1825,7.8925,8.3525,1,119000,"X"," 22:15",7,1,26,7,182,90,23,4,0,1013,97.25,14.1,4.1
2017-07-01,5.305,6.395,7.025,308,310.5,312,4.74,5.24,5.72,6.02,6.415,6.765,7.085,7.685,8.165,1,119000,"X"," 22:30",7,1,26,7,182,91,23,4,0,1013,97.25,14.1,4.1
2017-07-01,5.1825,6.3025,6.9575,306.5,309.25,311,4.615,5.14,5.655,5.96,6.3125,6.6825,6.9875,7.4775,7.9775,1,119000,"X"," 22:45",7,1,26,7,182,92,23,4,0,1013,97.25,14.1,4.1
2017-07-01,5.06,6.21,6.89,305,308,310,4.49,5.04,5.59,5.9,6.21,6.6,6.89,7.27,7.79,0,119000,"X"," 23:00",7,1,26,7,182,93,24,7,0,1013.6,101.44,14.3,5.3
2017-07-01,4.8125,5.9825,6.685,299,302.25,305,4.3525,4.8725,5.3775,5.69,5.99,6.3575,6.6375,6.99,7.5125,1,119000,"X"," 23:15",7,1,26,7,182,94,24,7,0,1013.6,101.44,14.3,5.3
2017-07-01,4.565,5.755,6.48,293,296.5,300,4.215,4.705,5.165,5.48,5.77,6.115,6.385,6.71,7.235,1,119000,"X"," 23:30",7,1,26,7,182,95,24,7,0,1013.6,101.44,14.3,5.3
2017-07-01,4.3175,5.5275,6.275,287,290.75,295,4.0775,4.5375,4.9525,5.27,5.55,5.8725,6.1325,6.43,6.9575,1,119000,"X"," 23:45",7,1,26,7,182,96,24,7,0,1013.6,101.44,14.3,5.3
2017-07-02,4.07,5.3,6.07,281,285,290,3.94,4.37,4.74,5.06,5.33,5.63,5.88,6.15,6.68,0,119000,"X"," 0:00",1,2,27,7,183,1,1,8,0,1013.9,103.64,14.5,5.5
2017-07-02,4.0575,5.3075,6.08,276,280.25,285.75,3.9575,4.4,4.75,5.05,5.3375,5.6125,5.86,6.12,6.635,1,119000,"X"," 0:15",1,2,27,7,183,2,1,8,0,1013.9,103.64,14.5,5.5
2017-07-02,4.045,5.315,6.09,271,275.5,281.5,3.975,4.43,4.76,5.04,5.345,5.595,5.84,6.09,6.59,1,119000,"X"," 0:30",1,2,27,7,183,3,1,8,0,1013.9,103.64,14.5,5.5
2017-07-02,4.0325,5.3225,6.1,266,270.75,277.25,3.9925,4.46,4.77,5.03,5.3525,5.5775,5.82,6.06,6.545,1,119000,"X"," 0:45",1,2,27,7,183,4,1,8,0,1013.9,103.64,14.5,5.5
2017-07-02,4.02,5.33,6.11,261,266,273,4.01,4.49,4.78,5.02,5.36,5.56,5.8,6.03,6.5,0,119000,"X"," 1:00",1,2,27,7,183,5,2,7,0,1014,103.64,14,4.5
2017-07-02,4.0825,5.445,6.2625,256.5,261.75,269,4.0275,4.565,4.8825,5.135,5.47,5.69,5.9225,6.17,6.63,1,119000,"X"," 1:15",1,2,27,7,183,6,2,7,0,1014,103.64,14,4.5
2017-07-02,4.145,5.56,6.415,252,257.5,265,4.045,4.64,4.985,5.25,5.58,5.82,6.045,6.31,6.76,1,119000,"X"," 1:30",1,2,27,7,183,7,2,7,0,1014,103.64,14,4.5
2017-07-02,4.2075,5.675,6.5675,247.5,253.25,261,4.0625,4.715,5.0875,5.365,5.69,5.95,6.1675,6.45,6.89,1,119000,"X"," 1:45",1,2,27,7,183,8,2,7,0,1014,103.64,14,4.5
2017-07-02,4.27,5.79,6.72,243,249,257,4.08,4.79,5.19,5.48,5.8,6.08,6.29,6.59,7.02,0,119000,"X"," 2:00",1,2,27,7,183,9,3,5,0,1013.9,101.45,12.1,3.2
2017-07-02,4.3575,5.9225,6.925,241.25,247,255,4.3025,4.955,5.32,5.6,5.935,6.2225,6.4375,6.74,7.2,1,119000,"X"," 2:15",1,2,27,7,183,10,3,5,0,1013.9,101.45,12.1,3.2
2017-07-02,4.445,6.055,7.13,239.5,245,253,4.525,5.12,5.45,5.72,6.07,6.365,6.585,6.89,7.38,1,119000,"X"," 2:30",1,2,27,7,183,11,3,5,0,1013.9,101.45,12.1,3.2
2017-07-02,4.5325,6.1875,7.335,237.75,243,251,4.7475,5.285,5.58,5.84,6.205,6.5075,6.7325,7.04,7.56,1,119000,"X"," 2:45",1,2,27,7,183,12,3,5,0,1013.9,101.45,12.1,3.2
2017-07-02,4.62,6.32,7.54,236,241,249,4.97,5.45,5.71,5.96,6.34,6.65,6.88,7.19,7.74,0,119000,"X"," 3:00",1,2,27,7,183,13,4,7,0,1013.9,97.26,11.7,2.3
2017-07-02,4.6775,6.4025,7.6725,234.75,239.75,247.5,5.0875,5.5475,5.8175,6.0675,6.42,6.715,6.955,7.305,7.8175,1,119000,"X"," 3:15",1,2,27,7,183,14,4,7,0,1013.9,97.26,11.7,2.3
2017-07-02,4.735,6.485,7.805,233.5,238.5,246,5.205,5.645,5.925,6.175,6.5,6.78,7.03,7.42,7.895,1,119000,"X"," 3:30",1,2,27,7,183,15,4,7,0,1013.9,97.26,11.7,2.3
2017-07-02,4.7925,6.5675,7.9375,232.25,237.25,244.5,5.3225,5.7425,6.0325,6.2825,6.58,6.845,7.105,7.535,7.9725,1,119000,"X"," 3:45",1,2,27,7,183,16,4,7,0,1013.9,97.26,11.7,2.3
2017-07-02,4.85,6.65,8.07,231,236,243,5.44,5.84,6.14,6.39,6.66,6.91,7.18,7.65,8.05,0,119000,"X"," 4:00",1,2,27,7,183,17,5,5,0,1014,91.39,11.9,2.4
2017-07-02,4.8625,6.665,8.1225,230,235,241.75,5.4475,5.8525,6.14,6.4125,6.675,6.9025,7.17,7.6325,8.055,1,119000,"X"," 4:15",1,2,27,7,183,18,5,5,0,1014,91.39,11.9,2.4
2017-07-02,4.875,6.68,8.175,229,234,240.5,5.455,5.865,6.14,6.435,6.69,6.895,7.16,7.615,8.06,1,119000,"X"," 4:30",1,2,27,7,183,19,5,5,0,1014,91.39,11.9,2.4
